CompoundName,MolecularFormula,ExactMass,MonoMass,SMILES,kingdom,superklass,klass,subklass
glycolaldehyde,C2H4O2,60.02112937,60.02112937,OCC=O,NULL,NULL,NULL,NULL
2-Propanol,C3H8O,60.05751488,60.05751488,CC(C)O,Organic compounds,Organooxygen compounds,Alcohols and polyols,Secondary alcohols
n-propanol,C3H8O,60.05751488,60.05751488,CCCO,NULL,NULL,NULL,NULL
carbamate,CH3NO2,61.01637834,61.01637835,NC(O)=O,NULL,NULL,NULL,NULL
ethanolamine,C2H7NO,61.05276385,61.05276385,NCCO,NULL,NULL,NULL,NULL
Carbonic acid,CH2O3,62.00039392,62.00039393,OC(O)=O,Organic compounds,Organic acids and derivatives,Organic carbonic acids and derivatives,Organic carbonic acids
3-Butenenitrile,C4H5N,67.04219917,67.04219917,C=CCC#N,NULL,NULL,NULL,NULL
Pyrrole,C4H5N,67.04219917,67.04219917,N1C=CC=C1,NULL,NULL,NULL,NULL
Imidazole,C3H4N2,68.03744814,68.03744814,N1C=CN=C1,Organic compounds,Organoheterocyclic compounds,Azoles,Imidazoles
Pyrroline,C4H7N,69.05784923,69.05784923,C1CC=CN1,NULL,NULL,NULL,NULL
3-4-Dihydro-2H-pyrrole,C4H7N,69.05784923,69.05784923,C1CC=NC1,Organic compounds,Organoheterocyclic compounds,Pyrrolines,NULL
(cis)-crotonaldehyde,C4H6O,70.04186481,70.04186481,C\C=C/C=O,NULL,NULL,NULL,NULL
But-3-en-2-one,C4H6O,70.04186481,70.04186481,CC(=O)C=C,NULL,NULL,NULL,NULL
Dihydrofuran I,C4H6O,70.04186481,70.04186481,C1CC=CO1,NULL,NULL,NULL,NULL
3-Aminopropanenitrile,C3H6N2,70.0530982,70.0530982,NCCC#N,Organic compounds,Organonitrogen compounds,Nitriles,NULL
Prolamine,C4H9N,71.07349929,71.07349929,C1CCNC1,NULL,NULL,NULL,NULL
Acrylic acid,C3H4O2,72.02112937,72.02112937,OC(=O)C=C,NULL,NULL,NULL,NULL
methylglyoxal,C3H4O2,72.02112937,72.02112937,CC(=O)C=O,NULL,NULL,NULL,NULL
3-Buten-1-ol,C4H8O,72.05751488,72.05751488,OCCC=C,Organic compounds,Organooxygen compounds,Alcohols and polyols,Primary alcohols
2-Methylpropanal,C4H8O,72.05751488,72.05751488,CC(C)C=O,Organic compounds,Organooxygen compounds,Carbonyl compounds,Aldehydes
Butanal,C4H8O,72.05751488,72.05751488,CCCC=O,Organic compounds,Organooxygen compounds,Carbonyl compounds,Aldehydes
2-2-Dimethyloxirane,C4H8O,72.05751488,72.05751488,CC1(C)CO1,NULL,NULL,NULL,NULL
butan-2-one,C4H8O,72.05751488,72.05751488,CCC(C)=O,NULL,NULL,NULL,NULL
Tetrahydrofuran,C4H8O,72.05751488,72.05751488,C1CCOC1,Organic compounds,Organoheterocyclic compounds,Oxolanes,NULL
Methyl isothiocyanate,C2H3NS,72.99862028,72.99861979,CN=C=S,Organic compounds,Organosulfur compounds,Isothiocyanates,NULL
Methyl thiocyanate,C2H3NS,72.99862028,72.99861979,CSC#N,NULL,NULL,NULL,NULL
Aminoacetone,C3H7NO,73.05276385,73.05276385,CC(=O)CN,Organic compounds,Organooxygen compounds,Carbonyl compounds,Ketones
N-N-Dimethylformamide,C3H7NO,73.05276385,73.05276385,CN(C)C=O,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives
3-aminopropanal,C3H7NO,73.05276385,73.05276385,NCCC=O,NULL,NULL,NULL,NULL
Methylguanidine,C2H7N3,73.06399724,73.06399724,CNC(N)=N,NULL,NULL,NULL,NULL
1-Butylamine,C4H11N,73.08914936,73.08914936,CCCCN,Organic compounds,Organonitrogen compounds,Amines,Primary amines
2-Methyl-1-propylamine,C4H11N,73.08914936,73.08914936,CC(C)CN,Organic compounds,Organonitrogen compounds,Amines,Primary amines
Diethylamine,C4H11N,73.08914936,73.08914936,CCNCC,NULL,NULL,NULL,NULL
Glycoxylic acid,C2H2O3,74.00039392,74.00039393,OC(=O)C=O,NULL,NULL,NULL,NULL
1-Hydroxy-2-propanone,C3H6O2,74.03677943,74.03677944,CC(=O)CO,Organic compounds,Organooxygen compounds,Carbonyl compounds,Ketones
Ethyl formate,C3H6O2,74.03677943,74.03677944,CCOC=O,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives
L-lactaldehyde,C3H6O2,74.03677943,74.03677943,CC(O)C=O,NULL,NULL,NULL,NULL
Methyl acetate,C3H6O2,74.03677943,74.03677944,COC(C)=O,NULL,NULL,NULL,NULL
propanoate,C3H6O2,74.03677943,74.03677944,CCC(O)=O,NULL,NULL,NULL,NULL
N-Nitrosodimethylamine,C2H6N2O,74.04801282,74.04801282,CN(C)N=O,Organic compounds,Organonitrogen compounds,Nitroso compounds,N-nitroso compounds
2-Butanol,C4H10O,74.07316494,74.07316494,CCC(C)O,Organic compounds,Organooxygen compounds,Alcohols and polyols,Secondary alcohols
2-Methyl-1-propanol,C4H10O,74.07316494,74.07316494,CC(C)CO,Organic compounds,Organooxygen compounds,Alcohols and polyols,Primary alcohols
2-Methylpropan-2-ol,C4H10O,74.07316494,74.07316494,CC(C)(C)O,Organic compounds,Organooxygen compounds,Alcohols and polyols,Tertiary alcohols
Ether,C4H10O,74.07316494,74.07316494,CCOCC,NULL,NULL,NULL,NULL
n-butanol,C4H10O,74.07316494,74.07316494,CCCCO,NULL,NULL,NULL,NULL
propane-1-3-diamine,C3H10N2,74.08439833,74.08439833,NCCCN,NULL,NULL,NULL,NULL
Glycine,C2H5NO2,75.0320284,75.03202841,NCC(O)=O,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
N-monomethylethanolamine,C3H9NO,75.06841391,75.06841391,CNCCO,NULL,NULL,NULL,NULL
Propanolamine,C3H9NO,75.06841391,75.06841392,NCCCO,NULL,NULL,NULL,NULL
Hydroxyacetic acid,C2H4O3,76.01604399,76.01604399,OCC(O)=O,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Alpha hydroxy acids and derivatives
Propylene glycol,C3H8O2,76.0524295,76.0524295,CC(O)CO,Organic compounds,Organooxygen compounds,Alcohols and polyols,Polyols
(S)-propane-1-2-diol,C3H8O2,76.0524295,76.0524295,C[C@H](O)CO,NULL,NULL,NULL,NULL
ethylsulfenate,C2H6OS,78.01393599,78.01393599,CCSO,NULL,NULL,NULL,NULL
